id,item_id,invoice_id,quantity,unit_price,status,created_at,updated_at
1,1,1,5,100,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,2,1,5,200,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,3,1,10,300,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,4,1,10,400,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,5,1,15,500,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,6,1,15,600,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,7,1,20,700,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,8,1,20,800,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,9,1,25,900,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,10,1,25,1000,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
