id,name,description,unit_price,merchant_id,created_at,updated_at
1,Item One,Description One,100,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
2,Item Two,Description Two,200,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
3,Item Three,Description Three,300,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
4,Item Four,Description Four,400,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
5,Item Five,Description Five,500,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
6,Item Six,Description Six,600,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
7,Item Seven,Description Seven,700,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
8,Item Eight,Description Eight,800,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
9,Item Nine,Description Nine,900,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
10,Item Ten,Description Ten,1000,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
